"Title","Company","Location","Salary","Summary","Link"
"","","","","Digital Foundry has been a pioneer in digital innovation for over 25 years. We specialize in partnering with Fortune 500 companies to plan, design, and build cutting-edge digital products. Our portfolio includes custom mobile apps, responsive websites, Web 3.0 interactions, user experiences, connected hardware, IoT solutions, and comprehensive platforms that enhance both customer-facing products and internal operations tools.  We are currently seeking a Software Engineer Associate to join our technology group in creating cutting-edge software solutions for our clients. Key Responsibilities: Work in a collaborative, team-centric environment utilizing agile principles Deliver high-quality solutions across multiple industries Collaborate with team to build software solutions where the problem is often ill defined Work on a variety of projects ranging in both size and scope Test your code and review the code of others Receive mentorship and accelerated learning Learn and adapt to new, complex development environments Minimum Requirements: BS in Computer Science OR relevant work experience Proficiency in one or more of the following: C#, Java, Javascript, Golang, Python, and CSS Work authorization in the U.S. which does not require sponsorship by the employer for a visa. Why Join Us? Competitive Compensation: Digital Foundry offers a comprehensive compensation and benefits package, including a competitive salary, performance bonuses, medical, dental, and vision benefits, and a matching 401(k) retirement program. Work-Life Balance: Enjoy up to three weeks of time off in your first year, along with a supportive work environment. Innovative Culture: Our team comprises diverse, intelligent, and fun individuals who are passionate about pushing the boundaries of innovation. Compensation Compensation at Digital Foundry varies based on factors such as location, role, skill, and experience. In compliance with California law, Digital Foundry provides a reasonable target base salary range of $75k - $83k. Location: Our office is located in Tiburon CA, a short drive or ferry ride from San Francisco. We are looking for candidates willing to work full-time from the office.  Thank you for your interest in Digital Foundry. We look forward to hearing from you! Digital Foundry, Inc. is an equal opportunity employer that is dedicated to a policy of non discrimination in employment and does not discriminate in hiring or employment on the basis of race, religion, creed, color, sex, sexual orientation, age, national origin, ancestry, mental or physical handicap, disability, or veteran status. gez6oyAPTZ","https://www.indeed.com/rc/clk?jk=487617308570f6f2&bb=UVWez1k2JDZc49gaGQ5N__0E0T3mMCcmPPsReKlPlE6ezPzd_Ivt8d0RsdZtKbk-viRotCIYwZKD3U2QJ5YHAx9TPCAzcoF4OH3HI1rGAmsxvc1avM0IjDeqi2hll3fp9I8LeQY2oo3VlTTTY5wMdA%3D%3D&xkcb=SoCj67M3uH6n8AXqc50LbzkdCdPP&fccid=81d6feff86debee6&vjs=3"
"","","","","Description: The role of Software Engineer III is adept at developing, maintaining, and enhancing intricate and varied software systems, encompassing tasks such as processing-intensive analytics, pioneering algorithm development, and real-time systems in accordance with documented requirements. Capable of working autonomously or collaboratively within a team, the role involves reviewing and testing software components to ensure compliance with design specifications and documenting test outcomes. Additionally, the Software Engineer addresses and resolves software problem reports, employing appropriate software development and design methodologies tailored to the development environment. Furthermore, the role provides specific insights into the software components of system design, including considerations such as hardware/software trade-offs, software reuse, and synthesizing requirements analysis from the system level down to individual software components. Requirements: Analyze user requirements to derive software design and performance criteria. Debug existing software and rectify defects. Provide suggestions for enhancing documentation and standards in the software development process. Design and implement new software or enhance existing software with additional features. Integrate existing software into new or revised systems or operating environments. Create simple data queries for current or proposed databases or data repositories. Compose or review software and system documentation. Lead teams according to the appropriate level within the software development process for each project. Develop or implement intricate interfaces/queries for databases or data repositories. Devise and implement algorithms to meet or surpass system performance and functional benchmarks. Aid in developing and executing test protocols for software components. Create software solutions by evaluating system performance standards, consulting with users or system engineers, analyzing systems flow, data usage, and work processes, and investigating problem areas. Modify existing software to rectify errors, adapt to new hardware, or enhance performance. Design, develop, and modify software systems, utilizing scientific analysis and mathematical models to anticipate and evaluate design outcomes and consequences. Design or implement complex algorithms that adhere to strict timing, system resource, or interface constraints; Conduct quality control on team deliverables. Qualifications: A minimum of twenty (20) years' experience as a SWE in projects and contracts of commensurate scope, type, and complexity is mandatory. Bachelor’s degree in Computer Science or related discipline from an accredited college or university is required. Four (4) years of additional SWE experience may be substituted for a bachelor’s degree. Security Clearance Required EOE/Affirmative Action, including disability/vets","https://www.indeed.com/rc/clk?jk=d11d7a093d40986b&bb=UVWez1k2JDZc49gaGQ5N_z3zJuuHqTHV3InmDuWdcrEduqnKrQ1gOMNiDS8Qujb-yWFa4_qycNu2Zhp82tcEVwSRlMovbGpIxiHBWct3L0LzlXgUR4YiVjJzdQRdoBwOg63KXydBHe7X3UpaMLENPQ%3D%3D&xkcb=SoAX67M3uH6n8AXqc50KbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3"
"","","","","Calling all 2026 grads who are looking for fast personal and career growth in consumer fintech. Skip the bureaucracy of a big company and work with a seasoned startup product and engineering team. We balance best practices from our experience in post-IPO companies with the familiar intuition that comes from pre-IPO zero-to-one work. Our mission is to create fair, effective, and simple financial pathways to help 100M Americans reach their financial goals. Investors include Lightspeed, Coatue and GGV. Founders are serial entrepreneurs who co-founded and served as C-suite executives at 3 FinTech unicorns. Our backend is written in Ruby on Rails on AWS, using lots of vanilla infrastructure. Our frontend and mobile apps are written in ReactJS on Vercel and Flutter. Strong internships and general open-source experience are necessary, but familiarity with our particular stack is preferred. Kikoff: A FinTech Unicorn Powering Financial Progress with AI At Kikoff, our mission is to provide radically affordable financial tools to help consumers achieve financial security. We're a profitable, high growth FinTech unicorn serving millions of people, many of whom are building credit or navigating life paycheck to paycheck. With innovative technology and AI, we simplify credit building, reduce debt, and expand access to financial opportunities to those who need them the most. Founded in 2019, Kikoff is headquartered in San Francisco and backed by top-tier VC investors and NBA star Stephen Curry. Why Kikoff: This is a consumer fintech startup, and you will be working with serial entrepreneurs who have built strong consumer brands and innovative products. We value extreme ownership, clear communication, a strong sense of craftsmanship, and the desire to create lasting work and work relationships. Yes, you can build an exciting business AND have real-life real-customer impact. Medical, dental, and vision coverage - Kikoff covers the full cost of health insurance for the employee! Stock Options Flexible vacation policy to help you recharge US salary range for this full-time position consists of base + equity + benefits Compensation Range: $150K","https://www.indeed.com/rc/clk?jk=1fe8a9ce0c6a24cb&bb=UVWez1k2JDZc49gaGQ5N_-CCl61l8XI1hkxrduTs_5WDxnrUypzL4cdcxWYzGiytIDeSOYPkQjMirKTG624qByQzjMWDjnA_lHqZtF0yG3VWE6d3QrC09EQ3CNJtLFVi_TBPH8k8e4ZW6bJk_hYUWg%3D%3D&xkcb=SoCK67M3uH6n8AXqc50JbzkdCdPP&fccid=32227046f4a45298&vjs=3"
"","","","","Welcome to Crosby, the next-generation law company! We're a team of technologists and legal experts collaborating closely to reimagine corporate legal services from the ground up. We build proprietary technology and human-in-the-loop workflows to enhance the lawyer-machine relationship radically. We want to review complex documents, for example, faster than ever, and with perfect quality. Crosby was founded by Ryan (Penn, Stanford Law, ex-Cooley, former GC) and John (Penn M&T, ex-Ramp, ex-Google). We believe: A great legal system is the watermark of a great society. Legal work is an art and science. We want to discover the frontier between the two and codify the scientific parts, which is a magnificent puzzle. Selling work, not software, is the best way to realize the productivity gains of GenAI for professional services. In an in-person culture at our NYC office. The Role: As an Engineer, you’ll have the unique opportunity to define and build the core technology stack that powers Crosby’s platform. You’ll work across the stack, building the robust back-end systems and tooling interfaces needed to deliver on our vision. In this role, you’ll collaborate directly with the founders, define technical priorities, and ensure the scalability of our platform. You'll have a direct impact on our product and user experience as we create tools to make contract review faster and more efficient. What You’ll Do: Design and implement scalable systems to process contracts at scale. Build bleeding-edge agentic AI tools to help the Crosby Legal team review contracts faster. Work closely with the founders and cross-functional teams to define and execute on technical priorities. Establish the foundation for a robust and maintainable codebase as we grow. Mentor and recruit engineers to help build out the team. What We’re Looking For: Experience: 3+ years of engineering experience, ideally including Python, TypeScript. Problem-focused: Strong sense of the problem behind a problem, and attention to detail in delivering high-quality products. Builder mindset: Excited about the opportunity to create and scale systems from the ground up. Collaborative: Effective communicator who thrives in cross-disciplinary teams. Ownership: Driven to take responsibility for projects from ideation through execution. Curiosity: Passionate about learning and experimenting with new technologies. Ideal Qualifications: Strong Python, TypeScript skill set Strong experience with NLP, LLMs, RL, and Information Theory. Experience with modern front-end frameworks (e.g., React, Vue, or Svelte). Why Work at Crosby Legal: Competitive salary and equity compensation. Comprehensive health, dental, and vision insurance. Unlimited PTO In-person team in NYC with a collaborative, high-energy environment. Apply now to join Crosby and be part of transforming the legal landscape. Note: Crosby is an equal opportunity employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, reproductive health decisions, or related medical conditions), sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with a disability, genetic information, political views or activity, or other applicable legally protected characteristics. Pursuant to New York Labor Law Section 194-b, US Pay Range is $120,000 - $220,000 which represents the base salary we reasonably expect to pay for this position at the time of this posting. Final compensation will be determined based on skills, experience, and qualifications.","https://www.indeed.com/rc/clk?jk=6fd43cffc1ea3602&bb=UVWez1k2JDZc49gaGQ5N_4h79xrs9YVY5f93h8PVXQ4W8cR53dVmJMQlUxvATznevnymybBHsvhLboEepaijlGyMaRIBFZQeAg-L96hrc0tmIsqaGmIETR1ZliGpFeRkiRP_yOVVQN6jnqtzzBuTOA%3D%3D&xkcb=SoA-67M3uH6n8AXqc50IbzkdCdPP&fccid=da29715ab36d9d1d&vjs=3"
"","","","","Must be a U.S. Citizen  Clearance Required: Secret  Education Required: Bachelor's in Computer Science, Engineering, or related technical field  Experience Required: 1 year or more experience supporting science, engineering, business, or other data processing problems to develop and implement solutions to complex applications problems.  Position Description: Analyze science, engineering, business, and other data processing problems to develop and implement solutions to complex applications problems, system administration issues, or network concerns. Perform systems management and integration functions, improve existing computer systems, and review computer system capabilities, workflow, and schedule limitations. May analyze or recommend commercially available software. Perform engineering duties in designing, constructing, and testing aircraft, missiles, and spacecraft. May conduct basic and applied research to evaluate adaptability of materials and equipment to aircraft design and manufacture. May recommend improvements in testing equipment and techniques.  Salary: The projected salary range for this position is $89,000-$162,000 depending on experience; however, this is not a guarantee of salary. Salary will be set based on experience and contractual requirements.  Benefits: Medical, Dental, & Vision Plan, short- and long-term disability, accidental death & dismemberment, 401K retirement & matching, Tuition assistance program, direct deposit, leave package and 11 paid federal holidays.","https://www.indeed.com/rc/clk?jk=e45c4fda4e7c532d&bb=UVWez1k2JDZc49gaGQ5N_11qNbHuLA16Xl8SgVquJ0AZ0ETi7_nzjM35TftAJBIhem3n_mnS3APqTdHmMaw6GbgzzL_pCU0w70Nf25emZb5ZNNgVaLzypasisgKkr1WUN_7j6OSwNB4R8V5DB8bgjA%3D%3D&xkcb=SoCw67M3uH6n8AXqc50PbzkdCdPP&fccid=bf6899b9247956c9&vjs=3"
"","","","","Company Overview Peerless Technologies Corporation, established in 2000, specializes in providing cutting-edge electronic warfare and cyber systems engineering services. We cater to a diverse clientele including NASA and various federal agencies, delivering innovative solutions from research and development to technology implementation. Peerless Technologies is searching for Software developers to support the development of modeling and simulation software. Possess expert level knowledge in one or more area of computing such as computing, database, numerical, security theory and analysis and advanced computing hardware development, primarily in a Microsoft Windows environment. The programmer will design, code, test, debug, and document programs based on customer requirements and must be competent to work at the highest technical level of all phases of applications systems programming activities. May be responsible for completion of all phases of a project. Activities may include configuration management, white/black box testing, peer code review, static code analysis, build/release management, automated testing, integration testing, performance/stress testing, and requirement verification. REQUIREMENTS Applicant must have a Secret Clearance or Top Secret Clearance Microsoft Development Suite (Visual Studio) using C++, C#, or Fortran (77 and 90) BS/BA in Engineer/IT/Computer Science 5 years of experience minimum Attention to detail and strong documentation skills a must Experience may be substituted for education for the right candidate Strong git experience in a multi-developer environment Task/bug management in a DevOps workflow toolset (e.g., Azure DevOps, gitlab, bitbucket) Experience writing units tests in a modern framework like googletest, nunit, bunit, etc NICE TO HAVES: Experience with using T-SQL, Blazor, Radzen, Python, R Experience with software testing and deployment in server-based environments Experience creating/managing Azure DevOps queries, pipelines, and/or deployments Experience with RedGate, SQL Server Management Studio, Selenium Experience with build platforms like msbuild and/or cmake Experience providing guidance and training to other programmers Job Type: Full-time Pay: $100,000.00 - $135,000.00 per year Benefits: 401(k) 401(k) matching Bereavement leave Dental insurance Flexible spending account Health insurance Health savings account Life insurance Military leave On-the-job training Paid holidays Paid time off Paid training Parental leave Prescription drug insurance Relocation assistance Vision insurance Wellness program Schedule: 8 hour shift Work Location: In person","https://www.indeed.com/rc/clk?jk=0e6b5ae250bd41af&bb=UVWez1k2JDZc49gaGQ5N_24g1bTXNuXJmf_tErAT3adZ_6EdPZ5qPmLaqgBBcvAFSfWp6tg2v6KcuAd8OrxigFN9K5HoHj9z3knOJ9Y4qSyqfWQwaoZRFxR8XWHJeLl0W6ZsDIrcTR6NK_3JTfMK6Q%3D%3D&xkcb=SoAE67M3uH6n8AXqc50ObzkdCdPP&fccid=4dda58c22b143101&cmp=Peerless-Technologies-Corporation&ti=Software+Engineer&vjs=3"
"","","","","Our mission at Onton is to help people make decisions they love, instantly. We’re tackling the most economically impactful decisions first: the average shopping journey takes 79 days, and we’re taking that to less than 1. Since our public launch in late 2023, we've grown exponentially to guide millions of users to their perfect product.  We recently built the foundation of a neurosymbolic AI agent that learns more about the world on every search. You have the chance to solve equally difficult problems as you scale Onton 10x over the next few months to serve 1B+ searches/year, which is just the beginning. You have the opportunity to: Join Onton as a Founding Engineer and set the foundation for our Engineering Team Design, scope, implement, and deploy user-critical features. Work with a dynamic team of other engineers, AI researchers, and product designers tackling cutting-edge problems to create a seamless, cohesive experience for users. Build across every layer of the stack — web app, container, infrastructure, etc. Stay up-to-date on the latest technologies and techniques to continually enhance our system, yourself, and the rest of the team. We expect you to: Have 3+ years of relevant engineering experience, preferably in fast-scaling companies. Be a self-directed generalist, capable of picking up any engineering problem and solving it, no matter how tedious. Quickly and iteratively ship code that is correct, robust, scalable, and maintainable. We love elegant code, but we’re not optimizing for that. We take pride in the excellence of the product we build. Exercise exceptional communication and interpersonal skills. Interesting problems we’ve worked on recently: Creating our own proprietary graph engine from scratch, which ended up being 700x faster on natural language queries than RedisGraph (a SOTA graph database which outperforms competitors by up to 15,000x on some benchmarks). Enabling a user to combine text and image queries — for instance, they could upload an image of a blue couch and say “like this, but in green”. To do this, we made our neurosymbolic search engine multimodal. Automatically making logical sense of a subset of natural language via statistical and symbolic parsing techniques. Fine-tuning an ensemble of ML models to perform object detection on diffusion-model-generated images. Building out a performant and scalable inference engine to support more powerful and nuanced natural language queries from our users. We’d love it if you: Enjoy giving high-level abstractions low-level performance. Have functional programming experience. If not, no problem; motivated engineers learn it quickly. Have worked with NLP and ML models before and understand their capabilities and limitations. Onsite Interviews Our final round of interviews is conducted onsite at our SF office, and this role requires full-time, in-person collaboration. We believe that the best work happens when our team is together, fostering creativity, spontaneous collaboration, and strong relationships.  If you’re unable to attend the interviews onsite or work onsite full-time, this position may not be the right fit. We want to ensure all candidates have a clear understanding of our work environment before applying, so everyone’s time is respected throughout the process.  Location Our team works in hybrid, 3 days a week, in our new office in San Francisco (Jackson Square). We’re offering relocation compensation as we build density in this area.  We have a tenure system where, after a year, any team member can transition to a fully remote, provided they operate primarily on Pacific Time. Diversity, Equity, Inclusion, and Belonging Statement We hire talented and passionate people from diverse backgrounds to ensure our global workforce reflects our customers. Even if your experience doesn't perfectly match every requirement in the job description, we encourage you to apply. If you're a builder at heart who shares our values and is passionate about making software tools accessible to all, we want to hear from you.  Onton is proud to be an equal opportunity employer. We do not discriminate in hiring or employment decisions based on race, color, religion, national origin, age, sex (including pregnancy, childbirth, or related medical conditions), marital status, ancestry, physical or mental disability, genetic information, veteran status, gender identity or expression, sexual orientation, or other legally protected characteristics. We consider qualified applicants with criminal histories, consistent with applicable federal, state, and local laws. We are also committed to providing reasonable accommodations for qualified individuals with disabilities and disabled veterans during our application process. If you need assistance or an accommodation due to a disability, please contact your recruiter. Compensation Range: $175K - $240K","https://www.indeed.com/rc/clk?jk=5f707fd4bb8490bc&bb=UVWez1k2JDZc49gaGQ5N_5kqtmZS7fTBSSqnFWpsde68xbaSjcNSqDMZMwhN3IMhGSK46YCLc5owGXF5m75PeuBO6-fZlX5eWyKVRaWzxZCWXvpiguX0CxHVwqI0Kh10dZi2-uw_kIdgwdG8ME7_eg%3D%3D&xkcb=SoCZ67M3uH6n8AXqc50NbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3"
"","","","","Founding Software Engineer – Nox Metals We’re building the fastest raw material supplier in America — starting with custom-cut aluminum blocks for CNC. Backed by Y Combinator, we’re combining modern software with factory automation to speed up quoting, processing, and shipping. What you’ll build: Instant quoting and order system for custom block sizes Internal factory software to automate cut planning, scheduling, and material tracking Visibility tools for customers to track every step Infrastructure to support more products, more metals, and more factories Why it matters: Factories can wait hours or days for raw material quotes. Our goal is 5 seconds. Every second we save on quoting and cutting speeds up downstream production across the industrial base. You might be a fit if you: Want to build at the intersection of software and manufacturing Have full-stack experience and can ship fast Enjoy solving messy, real-world problems with code Want to help rebuild American industry from the ground up Tech Stack (so far): React, Next.js Firebase, Supabase Python, TypeScript CAD and optimization libraries as needed You’ll work directly with the founders in Detroit. This is an early role — you’ll have massive ownership and the chance to shape how metal moves in this country. Job Type: Full-time Pay: From $87,190.95 per year Application Question(s): Why do you care about US Manufacturing? Experience: SWE: 2 years (Required) Location: Detroit, MI 48243 (Required) Ability to Commute: Detroit, MI 48243 (Preferred) Work Location: In person","https://www.indeed.com/rc/clk?jk=554b0598c11f3dba&bb=UVWez1k2JDZc49gaGQ5N_0K_vl4lV712jYWTClGDuEs9ThZ7H_2S5w2eKDOnGhxaxBIMYPFDqwCgadpLYby_SRbpRuf75GmnJOaGTAp8cXByvusUfKUwNmf82sw_CQzSxy_6cEgodnlI_fA6DdKeHQ%3D%3D&xkcb=SoAt67M3uH6n8AXqc50MbzkdCdPP&fccid=763da1cb1e710f7d&cmp=Nox-Metals&ti=Software+Engineer&vjs=3"
"","","","","About Nudge Nudge’s goal is to help the brain work better by creating a generalized product that can precisely stimulate and image the brain, entirely non-invasively. We aim to achieve this by developing cutting-edge ultrasound technology to treat neurological and psychiatric disorders, like addiction, and eventually, creating a mainstream consumer device that can modulate mood, focus, sleep, and more. To realize those ambitions, we’re growing a scrappy, multidisciplinary, science and engineering team focused on making the best technology possible for interfacing with the whole brain, and a product that has the potential to improve people’s daily lives more than any other. About the team The engineering team at Nudge works at the intersection of neuroscience, software, machine learning, firmware, electrical engineering, mechanical engineering, and acoustics. Our team includes engineers who have led development of the surgical robot at Neuralink, built augmented-reality hardware at Apple, and designed parts on SpaceX Starlink satellites. We are scrappy, hands-on, and welcome exceptional individuals who are passionate about their craft and energized by working on impactful, technical challenges. About the role We’re hiring software engineers who can own significant parts of our software stack and impact a wide range of verticals. You’ll work on software that interacts with every part of Nudge and our product, from device-specific software to simulation, infrastructure, and patient-facing portals. About you 3+ years of experience You love and obsess about software You enjoy shipping things that people use You enjoy helping other teams and people move faster Compensation Range $140,000 - $280,000/year + equity While this represents our expected range based on market data, final compensation will be determined based on your specific qualifications and may be outside this range.","https://www.indeed.com/rc/clk?jk=9172fb696cec4ac7&bb=UVWez1k2JDZc49gaGQ5N_0qUlBdPCltxOtOEq5lV5dirbBWnStxtgXqimi_o69OPPNYdnCiItzqJwpplLdfJ7JZoDRwNU-iCd1CrY3iY7NICpz6981YOZusM4600fUS0fxBfFE0Z7LCGcVQxO6CE0w%3D%3D&xkcb=SoDE67M3uH6n8AXqc50DbzkdCdPP&fccid=21cf331e036aba44&vjs=3"
"","","","","Desired Candidate Qualities: •  Self-motivated and willing to learn  •  Team-oriented individual with strong problem-solving abilities  Skills: •  Working knowledge of high-order programming languages and Web-based programming  •  Object-Oriented Design/Development  •  Experience in debugging software  •  Experience in verification testing of software  •  Technical writing skills: capable of creating required engineering documentation  Education: •  Bachelor's degree in an Engineering or Scientific field  Requirements and Expectations: •  US Citizenship and ability to obtain a Secret Clearance  Benefits: Tech Wizards is an employee-oriented company offering: Relocation Assistance Exceptional salaries Company funded retirement plans Major medical, dental, and vision insurance for employees and their dependents Competitive vacation, holiday, and sick leave packages Life insurance and short/long term disability insurance Educational assistance programs Flexible work schedules Tech Wizards, Inc. is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, ethnic or national origin, ancestry, pregnancy (including childbirth or related condition), citizenship, familial status, mental or physical disability, veteran status, genetic information, other non-disqualifying disability, or any other characteristic protected by law.","https://www.indeed.com/rc/clk?jk=e01aacd0c2612d84&bb=UVWez1k2JDZc49gaGQ5N_w2sRm0e4ydKVmAib3QGJNfVVEUBxwy34z39e6UH7OX80zRmSQOKaTDdHlCSRWdkI2_sFBLfbro5vp1gPkgwUVazGjTf9afbAvD2oFiAQz9qQXn-DigmCJliYS1i4Cwa9g%3D%3D&xkcb=SoBw67M3uH6n8AXqc50CbzkdCdPP&fccid=82770715e1734ea6&vjs=3"
